"V1","V2","V3","V4","V5","V6","V7","V8","V9"
6.48355995515322,-11.2941382816928,-10.8262081657817,-6.93202893428192,-6.7170639352713,-5.529438787599,52,56,55
6.75269250524606,-11.3269231268803,-11.2322475591905,-6.60757902818643,-7.05251047921619,-5.29527574520537,51,57,55
-1.218502571629,-7.28007614346357,-4.557389932713,-8.60755505832012,2.13853183850976,-3.80367407568892,65,53,56
1.12274451114437,-7.30604380106019,-4.85039863235531,-8.45870679045675,2.12662877997599,-3.68725991560901,64,54,56
-1.36837286545472,-7.14933524582544,-4.06834714892785,-8.3781620735655,2.06844600938531,-3.37970706365685,65,54,56
1.18168665360777,-7.81833950305292,-4.33545840740871,-8.30748866294759,1.4602724562322,-3.20368210928544,64,55,56
0.94238744840826,-7.65892957953833,-3.79721223216965,-8.20251056653004,1.51762059819824,-2.93477421181087,65,55,56
6.93997634155849,-10.902563004359,-10.4744531170497,-6.61995537975757,-6.15466628641648,-5.91961951415753,52,56,56
6.74317783176362,-10.7922377547045,-10.2569474982204,-7.84665172480195,-5.68932795455697,-5.33711998301045,53,56,56
7.29117819348264,-10.3214400731268,-11.0433622069123,-6.00457623262406,-7.07537140675962,-5.31455791695135,49,57,56
7.22565487142872,-10.3973153681882,-10.9921669031929,-6.15819194002196,-6.83904655496332,-5.29372757769594,50,57,56
7.11397091467649,-10.4071204767678,-10.8789944150396,-6.29334711676009,-6.52535391365084,-5.24482360569067,51,57,56
6.96156842877572,-10.9185536636483,-10.7024570067902,-6.41136924977084,-6.14243398980083,-5.16988325409264,52,57,56
6.76076009176755,-10.8123113749767,-10.4626548725038,-7.69533020582192,-5.69471075751848,-4.88354844515472,53,57,56
7.1471000103547,-10.9362471634977,-11.0527313123609,-6.10626256255676,-6.5199748533592,-4.88461065201758,51,58,56
6.98632174544279,-10.9058564054217,-10.860829438782,-6.21132978949837,-6.14876040621568,-4.75918349412815,52,58,56
6.78157515554829,-10.8068358298458,-10.6021991332617,-6.30083716436011,-5.7170655031769,-4.60017530340482,53,58,56
6.92276216288015,-10.9079745671375,-11.1497783221637,-5.9393492516135,-6.54579675447618,-3.95131687942894,51,59,56
7.02257129545208,-10.8779369410815,-10.9451233386536,-6.02430296157495,-6.18343212326485,-3.80399127877673,52,59,56
1.45030234254528,-7.58958806411804,-5.1616036681843,-8.3180073998277,2.93748823660445,-4.02311248446614,64,53,57
0.656556753886133,-6.92639879716412,-4.67184252130973,-8.2527984387685,3.02310707790757,-3.72791864049076,65,53,57
2.20643047077944,-7.65833530011535,-5.33742586499883,-8.14030495585035,2.75959433297935,-3.95376409485595,63,54,57
