"","Cue_c","Cue_d","LF_c","LF_d","RF_c","RF_d","LH_c","LH_d","RH_c","RH_d","Ton_c","Ton_d","x","y","z"
"V19",4.3273757453837,-5.09706803373904,-2.42868755174659,-8.8622006190666,-2.3511423158629,-9.14265745378204,-2.33458980283586,-5.22229153636997,-2.64026596007019,-4.24337356389267,0.61563986483399,-7.4571004759406,52,59,56
"V20",1.61088871039609,-2.3005317827843,-2.9825285039055,-4.38482773115324,-1.01439065699299,-4.37558122980598,-4.05424105228594,-4.90757283345184,2.95026279435288,-0.553544769657255,0.319365048960778,-6.625419118613,64,53,57
"V21",1.36774345693665,-2.2702936506024,-2.95973057820441,-4.212925948056,-0.721018932454952,-4.05514692768449,-4.05283527494556,-4.89511525632007,3.00010987883875,-0.400975013700252,0.504201620376226,-6.47297756150127,65,53,57
"V22",1.67854236025931,-2.42557293785069,-2.98350647024502,-4.57452714003308,-1.12551112918435,-4.65611936623723,-3.90853430249698,-4.77235065072046,2.71024788897343,-0.734062391777553,0.558573287090425,-6.62448728841444,63,54,57
"V23",1.38795117338563,-2.36384933761857,-2.93063367438137,-4.33765255818218,-0.85482098948984,-4.29667435383551,-3.92296665927554,-4.72876367894804,2.84897130374133,-0.530948491613826,0.758775924729196,-6.48603004366476,64,54,57
"V24",1.11020123641954,-2.3297343276798,-2.88521287466682,-4.14352407536832,-0.541174954151921,-3.9327695783884,-3.90883335796988,-4.70495409737499,2.88521881194273,-0.383969863461472,0.961099383208987,-6.33509634399648,65,54,57
"V25",4.3265177068971,-4.46813734885715,-2.4842309597787,-8.13673228348761,-1.9894129397285,-8.02239103877727,-2.61224047841614,-5.18327521447455,-2.1341018098535,-4.4165498890195,-1.46592411878687,-7.12244377078973,51,55,57
"V26",4.28921523415716,-4.32154599644368,-2.68548386709342,-8.00622963987684,-1.98695648392727,-7.91501175615007,-2.72865790766082,-5.23547068886588,-1.83660915796863,-4.21433503426489,-1.30436058174416,-7.14064805291474,52,55,57
"V27",4.20318217158637,-4.15431183924024,-2.85671547865585,-7.81764194089322,-1.98441581836174,-7.76401799329058,-2.84450351633138,-5.25934435825509,-1.48594031061894,-3.96897620533922,-1.12339928343106,-7.14592372089842,53,55,57
"V28",1.51794737488924,-2.54662687338868,-2.93781109284213,-4.58123736157525,-0.988129962340731,-4.62814026999652,-3.75582639846368,-4.61520348589152,2.52809558531058,-0.750185060448164,1.01781852304899,-6.50790230870016,63,55,57
"V29",1.19438125005979,-2.48277686987309,-2.86513620743364,-4.32381726836514,-0.697425325033782,-4.22647483145853,-3.75822368992214,-4.56092616952717,2.65185054425488,-0.554228570995709,1.23564153008694,-6.37147509332295,64,55,57
"V30",0.883835361189058,-2.44584537046566,-2.79939331729155,-4.10933636353204,-0.364863121353225,-3.82122433362716,-3.73189741787613,-4.52650045694304,2.67449558437379,-0.414025228825228,1.45506109449616,-6.22280931769554,65,55,57
"V31",0.589822031973456,-2.43637910678934,-2.74565218623505,-3.94146975586966,0.00747450768122317,-3.41526284221822,-3.67621461066675,-4.51437441321623,2.59298716042491,-0.332869197200027,1.67700883793899,-6.06320342881105,66,55,57
"V32",4.38941012396337,-4.42361183110125,-2.72107454160336,-8.18507817234057,-2.07229442036284,-8.23822887670498,-2.62469495783379,-5.18241105240717,-1.88897264089099,-4.1867630828958,-0.972399680467896,-7.04791652086922,52,56,57
"V33",4.29338502452126,-4.26817361371258,-2.89184840492561,-7.98908847352552,-2.0543387352026,-8.06972436542483,-2.73927004094105,-5.19924170861506,-1.55467370071828,-3.94503140017936,-0.780117762559148,-7.05143400607229,53,56,57
"V34",1.02851837026607,-2.65500950998117,-2.78212634249947,-4.34198862566158,-0.541899504948172,-4.16358073477992,-3.56196534319894,-4.4051940241347,2.3630803089473,-0.622100339700608,1.74847546038255,-6.28119684830117,64,56,57
"V35",0.687654317956063,-2.61653961770813,-2.69878750168014,-4.10939010865985,-0.191986315771916,-3.71983161729927,-3.5241325136324,-4.36092667481956,2.3722102763525,-0.489722193998918,1.98429952180812,-6.13545026960231,65,56,57
"V36",0.363671925052017,-2.60479082750062,-2.62707424804342,-3.92327703955973,0.196610207251551,-3.27649328932886,-3.45754071367213,-4.33890226608578,2.27960227834588,-0.4153241950182,2.2219040867529,-5.9788258492767,66,56,57
"V37",4.53092653983201,-4.6697271365056,-2.50502828695298,-8.48551227176173,-2.16558829374796,-8.65640767260922,-2.40024439745219,-5.09340824565017,-2.25355833910701,-4.36486940393216,-0.77646050714629,-6.95216972652911,51,57,57
"V38",4.47979431785989,-4.5497012903244,-2.70939754735801,-8.34574876807451,-2.13872537881603,-8.52393229775715,-2.51274391995045,-5.13190299317854,-1.98874333144196,-4.1699246908526,-0.594163364176562,-6.96809480777424,52,57,57
"V39",4.37498060280661,-4.40819913103053,-2.88007539281828,-8.14550738967965,-2.10679483666494,-8.34034241963193,-2.62321072493231,-5.14159072993743,-1.67417858508109,-3.93415301918762,-0.39123769027091,-6.9710284591882,53,57,57
"V40",0.169606368459094,-2.82663372055855,-2.4941698680245,-3.93948842131772,0.381746425430019,-3.15023221861416,-3.21346017349362,-4.178053826726,1.88143325680484,-0.541712416569953,2.79935553450709,-5.91882934650868,66,57,57
"V41",4.61380571519208,-4.80300064629839,-2.44354538104048,-8.62651033222887,-2.21952823455695,-8.90897485057845,-2.29033761904893,-5.05449779547476,-2.37904914504303,-4.35391800212657,-0.360343123722619,-6.88475496457588,51,58,57
"V42",4.55658407867045,-4.69875909967019,-2.64876607454672,-8.48584372695388,-2.18253289523735,-8.76674974549941,-2.39649313224459,-5.08553245988586,-2.1346675464676,-4.16533874580789,-0.168669797049037,-6.90116057994008,52,58,57
"V43",4.44421510356382,-4.57302372192056,-2.81950545979299,-8.28438174807746,-2.13815315096024,-8.57057384716076,-2.50011671459403,-5.08797719328647,-1.84273139793376,-3.93763681045168,0.0440369959682059,-6.90460265479154,53,58,57
"V44",4.68099160759917,-4.9579035123888,-2.33481002255434,-8.74362998491772,-2.24615787317853,-9.11360918805055,-2.18358431482397,-5.02208835848635,-2.54740076296628,-4.35571426957335,0.104365453108312,-6.82928750112247,51,59,57
"V45",4.61817376816357,-4.87063460730388,-2.5400597463512,-8.6042765588121,-2.20037517267074,-8.96341574960852,-2.2806892418018,-5.04527369956876,-2.3255340420151,-4.17501236397045,0.304523102409288,-6.84709300675394,52,59,57
"V46",4.4994131980833,-4.76211381876863,-2.71072124176893,-8.40437832482682,-2.14507181153861,-8.7570833556497,-2.37488505668905,-5.0403648060565,-2.05860261201087,-3.95719149545223,0.526004524201627,-6.85200625781386,53,59,57
"V47",2.02616859268556,-2.16465904190163,-3.12657795785368,-4.28462885665964,-1.47827017978456,-4.63469921989373,-3.99483728014337,-4.64028094032375,3.59933834641802,-0.595408443567943,-0.145886995808426,-6.21774539117375,63,53,58
"V48",1.77764190831634,-2.12706204810805,-3.09488697938133,-4.07588477959704,-1.2687073823574,-4.34418782541934,-4.01939443549719,-4.5937529335517,3.79336148231985,-0.381291125018364,0.0197716799078999,-6.08533738172911,64,53,58
"V49",1.54238175188906,-2.1179080924311,-3.07199981884619,-3.9107811319732,-1.01068080048179,-4.04722595039027,-4.01531888745266,-4.56833177514251,3.87717109679087,-0.226071808036855,0.189023771342224,-5.93906087808623,65,53,58
"V50",1.32298947809958,-2.13711925119279,-3.06284442337942,-3.79250521741115,-0.70621572690089,-3.745586888193,-3.98134032742818,-4.56653090464381,3.84716420916103,-0.133564788457071,0.36366041820423,-5.78051888687099,66,53,58
"V51",4.32712591408902,-4.10238217324932,-2.40994640222264,-7.64630978421815,-1.57026598387538,-7.37145828740054,-2.72215098709828,-5.09455618465362,-1.90649903806914,-4.37241643003578,-1.94072825151685,-6.58130512440032,51,54,58
"V52",4.30984861780545,-3.94585385974643,-2.63439961969585,-7.522332550539,-1.60644756820507,-7.29019633540335,-2.82991052805018,-5.14812172567179,-1.57714389407462,-4.17166312226103,-1.78862111936744,-6.60477895549366,52,54,58
"V53",4.24513566916378,-3.77072200450519,-2.82961320426475,-7.34117487002618,-1.65135203919944,-7.17120905315809,-2.93813099585354,-5.17199781278497,-1.18579180870226,-3.92514750031819,-1.61883007001015,-6.61763881343356,53,54,58
"V54",4.13457366365224,-3.58319027848852,-2.99139296008757,-7.10965525467913,-1.70061888237919,-7.01746078058981,-3.04824346708791,-5.16790088624664,-0.738643590299609,-3.63757107347073,-1.43645315451083,-6.61990170987171,54,54,58
"V55",2.15353336337398,-2.3167829774333,-3.16135083797006,-4.53064032989997,-1.52231669483819,-4.92500722668554,-3.84081343510931,-4.55244929055718,3.2191145454057,-0.835606650863996,0.0820252721925911,-6.20105663500193,62,54,58
"V56",1.85808183127418,-2.24772817035893,-3.10375116366806,-4.25831621134249,-1.33834415413682,-4.5950007880495,-3.87963623726466,-4.47616673450065,3.50056644294032,-0.574209961267726,0.265395981568647,-6.08489490928585,63,54,58
"V57",1.57212422543759,-2.20602606892849,-3.04845973239391,-4.02522464576554,-1.10663191695382,-4.25744124193619,-3.89145584152798,-4.41755357086518,3.68040594238952,-0.365757261877194,0.450094564189323,-5.95413322938379,64,54,58
"V58",1.30002689402892,-2.19231807407427,-3.00149365966819,-3.83668995452801,-0.82772347925176,-3.91465910789066,-3.87383932065024,-4.38039720451077,3.75031151302804,-0.216493598645463,0.637752728913681,-5.80977812203929,65,54,58
"V59",1.0449179883276,-2.20670320033825,-2.96819950573585,-3.6961154983513,-0.503661216930094,-3.56895871837464,-3.82586887680175,-4.36729723642237,3.70685619313968,-0.130067270437306,0.829935018098198,-5.65330073673753,66,54,58
"V60",4.45196565457105,-4.30629376395943,-2.2550013454816,-7.92766696081162,-1.68537448950747,-7.8127680638415,-2.51617762725606,-4.97289596516747,-2.15912032584221,-4.4943878829889,-1.82168430674948,-6.45698966331313,50,55,58
"V61",4.47690330970041,-4.18527013007454,-2.5062194520364,-7.85895055963146,-1.69759823088491,-7.75990626107701,-2.62966919863287,-5.05171938655814,-1.90496986536567,-4.3418714626286,-1.68180473789527,-6.48820244682349,51,55,58
"V62",4.45122063014984,-4.03957836609919,-2.73169774649792,-7.72593611004938,-1.71908132710904,-7.66245324483154,-2.74020007213378,-5.09899447863057,-1.58731359275176,-4.14111483507255,-1.51842059110721,-6.50850899724871,52,55,58
"V63",4.37445275868987,-3.87440212943051,-2.92494816737416,-7.53353998803007,-1.74647679076026,-7.52241097889251,-2.85013869237058,-5.11577236389359,-1.20894700636177,-3.89520413384244,-1.33648619502511,-6.51811110989372,53,55,58
"V64",2.04660298512668,-2.45720058819957,-3.14180897253362,-4.5582528907495,-1.40633938117618,-4.937035882055,-3.70004362068863,-4.40844136232307,3.03871828319964,-0.851788651608779,0.513150948229305,-6.09156194107837,62,55,58
"V65",1.71620874810832,-2.38623196569446,-3.0640158988737,-4.26411824603743,-1.20032903814321,-4.56183560078291,-3.72658256508832,-4.32114586204166,3.30335915600974,-0.598256956314753,0.715537797856717,-5.97741354200133,63,55,58
"V66",1.39507537833589,-2.3417219494925,-2.98767054955819,-4.00925871306776,-0.947809190920532,-4.17958627604514,-3.72565832147041,-4.2515479459035,3.46772335355167,-0.397442734392323,0.918897729882375,-5.84905540957626,64,55,58
"V67",1.08805625968581,-2.32447122182645,-2.91911899012095,-3.79919211120319,-0.649351801198338,-3.79315016872416,-3.69518911591945,-4.20350508175585,3.52372047048149,-0.255374874242635,1.12461775619303,-5.70735983632098,65,55,58
