"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
2.20488955726955,-6.12431644382631,-6.30000500438775,-15.0331862973861,-4.89957248691074,-2.04272441227221,-4.73988055831196,-5.93553862419986,-6.95265837018466,-13.4879453876206,0.193175293068353,-4.79424985123995
-3.16200331438519,-0.864292824605894,3.92457826715068,-1.06918818170976,1.44185147271418,-7.48028604113059,-5.39551025331264,-3.22892965573117,-1.19396734626931,0.330954149693606,0.293584708318649,1.15183742361378
0.511837574464378,1.87450058378962,-1.27174710163828,2.37068470375526,0.384636794435795,-0.430124015796913,-0.838400854545708,-4.89517852796994,0.778983925513682,8.16126165006753,0.894808863911661,-3.48859909101367
1.89069722191044,-8.0643320324694,-2.96891679183003,-10.3323162348943,-4.48247747313466,-13.2903274619542,-4.5885213469546,-12.5954748390599,-8.70368868186438,-13.1112708882432,3.48738691544716,-14.0427519952334
1.40261469439313,-9.56840355856594,-5.31351116830342,-15.0414637396217,-4.58837578648329,-11.4306451532255,-7.26819578976215,-22.4283636490881,-12.3797884126776,-14.637414249068,7.90791566415588,-23.7329876508689
2.72039966761468,-3.09048018063924,-0.067238298169347,-2.85703272156474,-1.48350211401565,-5.2655536657162,0.815232163776312,-3.5866888773694,-0.955107714861215,-3.14298850678218,2.15482441087752,-2.88753522268412
-0.531565160604836,-4.7262814486359,-1.01905262019761,-3.21950534685549,-1.91979092436151,-2.80937321896364,-4.87491467744946,-9.63860813944751,-7.66648358589927,-7.08119952506905,5.30700061550911,-5.69433115144285
0.318152605721552,-4.89546124678964,2.18881064486293,-5.33926870801627,4.08230467410107,-3.12675154488245,-6.08605920468814,-4.48400319831374,-0.37752231082914,-7.18553155548113,0.582777702967112,-4.75014100772477
3.43209420904461,-7.52464405649419,-4.87398149759132,-14.4700937693781,-2.52728806275103,-9.74193092485078,-3.8830765475048,-2.25691325726014,-5.57249651827045,-11.3484728233524,-4.56939641826516,-11.4727928297675
1.1715791495403,3.57885070800841,1.15880032322138,-3.62737214827045,0.553289195982608,-6.69246777894813,4.99516163369213,-6.47661269005475,2.36101311824046,-0.0992760031403667,5.17253923423031,-10.9776666668109
2.88971653181284,-2.69928108984579,5.09482041052929,4.10993097112408,1.04974525641062,-8.27636762038304,1.25506598909392,-11.6983984785536,-1.34697821897673,-5.21205777827659,4.49346791532334,-3.83307534788556
2.20310813383152,-8.03424909891189,2.24119246586045,-4.36320634411497,0.656904270459067,-6.73684777671631,-0.780861454223541,-6.1021032013737,-3.01413825306727,-5.49246238331423,4.0623879686055,2.87349947788407
0.297227942047828,-5.74166036191275,1.19321592607621,-15.057403568424,-1.12988221780576,-15.1790331549605,-2.79749247131902,-7.14561937435971,-3.13573976050678,-13.0172173397211,0.461047358140163,-9.28965962664645
-3.13652302287944,1.75011202604177,2.28178587832049,-5.5039197896124,0.693791931893931,-6.02849788689035,-0.513225419553049,-1.10271948120532,1.96767497498469,-4.45368347901672,-3.08991658926747,-2.14038389255129
